product_id,name,short_description,price,original_price,discount_rate,rating_average,review_count,category_name,brand_name,url
276036286,"Bàn Phím Cơ K900 Gaming - Led xuyên phím có hotswap cho máy tính , laptop hàng nhập khẩu",". Bàn Phím Cơ K900 Gaming - Led xuyên phím có hotswap cho máy tính , laptop. Blue Switch 104 Phím tròn cổ điển phong cách Steampunk , mạ chrome sáng bóng. chữ khắc lazer không phai theo thời gian. ...",665000,665000,0,5.0,2,,Tech77,ban-phim-co-k900-gaming-led-xuyen-phim-co-hotswap-cho-may-tinh-laptop-hang-nhap-khau-p276036286.html?spid=276036288
205855422,Loa bluetooth TG-645 nghe nhạc bluetooth Fm usb thẻ nhớ. Hàng Chính Hãng,"loa bluetooth TG-645 nghe nhạc bluetooth Fm usb thẻ nhớSở hữu thiết kế đẹp mắt, thời thượng với nhiều tông màu sắc, loa di động TG-645 là một sản phẩm không thể thiếu trong những bữa tiệc, party cùng...",300000,300000,0,0.0,0,,MTMax,loa-bluetooth-tg-645-nghe-nhac-bluetooth-fm-usb-the-nho-hang-chinh-hang-p205855422.html?spid=205855454
20273856,Chuột Không Dây Forter V8 Slient Mouse (Không tiếng ồn) Màu Xám - Hàng Chính Hãng,"Thời gian chờ lên tới 36 thángMột thế hệ công nghệ năng lượng thấp mới, năng lượng gấp năm lần so với không dây thông thường, thời gian chờ có thể lên tới 36 tháng, loại bỏ nhu cầu thường xuyên thay ...",175900,175900,0,5.0,1,,Forter,chuot-khong-day-forter-v8-slient-mouse-khong-tieng-on-mau-xam-hang-chinh-hang-p20273856.html?spid=72606047
111065792,"Bàn phím cơ có dây BAJEAL chơi game có đèn nền LED,di chuyển với Công tắc màu xanh","Features:Blue switches provides quick response and great durability.With combination of FN and INS, you can change different lighting modes in your favour. Within the modes, there are nine for choos...",633000,633000,0,0.0,0,,BAJEAL,ban-phim-co-co-day-bajeal-choi-game-co-den-nen-led-di-chuyen-voi-cong-tac-mau-xanh-p111065792.html?spid=111065793
115129026,"Bút cảm ứng Baseus Smooth Writing Capacitive Stylus dùng cho iPad Pro/ Smartphone/ Tablet Android (Active + Passive Version, Magnetic Adsorption, Tilt & Strength sensitive) - Hàng chính hãng","Tính năng cơ bản Bút cảm ứng Baseus Smooth Writing Capacitive Stylus dùng cho iPad Pro/ Smartphone/ Tablet Android (Active + Passive Version, Magnetic Adsorption, Tilt & Strength sensitive)- Bút ...",580000,580000,0,4.8,5,,Baseus,but-cam-ung-baseus-smooth-writing-capacitive-stylus-dung-cho-ipad-pro-smartphone-tablet-android-active-passive-version-magnetic-adsorption-tilt-strength-sensitive-hang-chinh-hang-p115129026.html?spid=137834034
189954755,Đèn hỗ trợ quay phim chụp ảnh ULANZI VL49 RGB - Hàng nhập khẩu,"Đèn hỗ trợ ULANZI VL49 RGBNếu muốn tăng hiệu ứng ánh sáng trong quá trình quay phim, chụp ảnh thì bạn chắc chắn không thể bỏ qua mẫu Đèn hỗ trợ ULANZI VL49 RGB. Trang bị nhiều tính năng ấn tượng phục...",356500,356500,0,5.0,1,,Ulanzi,den-ho-tro-quay-phim-chup-anh-ulanzi-vl49-rgb-hang-nhap-khau-p189954755.html?spid=192913172
275921612,Tai nghe điện thoại BYZ-S389 - Tai nghe nhét tai - Hàng chính hãng,Tai nghe điện thoại BYZ-S389 - Tai nghe nhét tai - Hàng chính hãng- Tai nghe là phụ kiện không thể thiếu đối với những người dùng có sở thích giải trí bằng âm nhạc. Nhưng để trải nghiệm nghe nhạc đư...,92000,120000,23,0.0,0,,Qualcomm,tai-nghe-dien-thoai-byz-s389-tai-nghe-nhet-tai-hang-chinh-hang-p275921612.html?spid=275921616
67992270,Củ sạc Baseus hỗ trợ sạc nhanh 2.1A sạc được 2 thiết bị cùng lúc tiết kiệm được 20-40% thời gian sạc - Hàng chính hãng,"Củ sạc Baseus hỗ trợ sạc nhanh 2.1A sạc được 2 thiết bị cùng lúc tiết kiệm được 20-40% thời gian sạc - Hàng chính hãng - Công suất sử dụng lớn , hỗ trợ dòng lên đến 3.4A , Baseus Compact Charger cho...",154000,275400,44,5.0,5,,Baseus,cu-sac-baseus-ho-tro-sac-nhanh-2-1a-sac-duoc-2-thiet-bi-cung-luc-tiet-kiem-duoc-20-40-thoi-gian-sac-hang-chinh-hang-p67992270.html?spid=184125941
95681232,Adapter Sạc Anker 1 cổng 65W Hỗ Trợ Sạc Nhanh PIQ 3.0 PowerPort III Pod Lite - A2718 - Hàng chính hãng,Khả năng tương thích vô songAdapter Sạc Anker 1 cổng 65W Hỗ Trợ Sạc Nhanh PIQ 3.0 PowerPort III Pod Lite - A2718 được trang bị công nghệ PowerIQ 3.0 để cung cấp khả năng sạc tối ưu cho hầu hết mọi th...,449000,750000,40,5.0,91,,ANKER,adapter-sac-anker-1-cong-65w-ho-tro-sac-nhanh-piq-3-0-powerport-iii-pod-lite-a2718-hang-chinh-hang-p95681232.html?spid=95681235
56859344,Chuột không dây sạc điện HXSJ M103 - Hàng chính hãng," Chuột Không Dây Sạc Điện HXSJ M103 Được thiết kế đơn giản, hiện đại, màu sắc trang nhã với kích thước phù hợp với cả người dùng là nam hay nữ. Chất liệu ABS cao cấp có khả năng chống va đập rơi v...",139000,199000,30,4.7,1239,,HXSJ,chuot-khong-day-sac-dien-hxsj-m103-hang-chinh-hang-p56859344.html?spid=56859348
277273300,Bàn Phím Giả Cơ 1 Tay Free Wolf K11 Chuyên Game 28 Phím - Hàng Nhập Khẩu,"Thông tin chi tiết kĩ thuật K11Model: FREEWOLF K11– Loại: Bàn phím bán cơ-Đồ bền mỗi phím trên 50 triệu lần nhấn– Kết nối: Cổng USB-Có đèn led đổi màu– Tương thích: Điện thoại (phải dùng OTG), Máy tín...",265000,265000,0,0.0,0,,ROGTZ,ban-phim-gia-co-1-tay-free-wolf-k11-chuyen-game-28-phim-hang-nhap-khau-p277273300.html?spid=277273301
121264852,Bếp hồng ngoại Kangaroo KG20IFP1 - Hàng Chính Hãng,"Bếp hồng ngoại sử dụng được mọi loại nồi từ nồi gang, nồi thủy tinh đến nồi đấtĐặc biệt còn có thể nướng trực tiếp trên mặt bếp cho việc nấu nướng thêm tiện lợi hơn....",1080000,1080000,0,5.0,1,,Kangaroo,bep-hong-ngoai-kangaroo-kg20ifp1-p121264852.html?spid=165846515
191757014,Cáp sạc nhanh đa năng Remax RC-190 - Hỗ trợ sạc nhanh lên đến 60W - Hàng Chính Hãng,"Bộ cáp sạc nhanh đa năng 60W Remax RC-190 tích hợp cáp sạc nhanh C to C cùng các đầu chuyển đổi iP, Micro và USB giúp cung cấp năng lượng cho nhiều thiết bị di động khác nhau vô cùng tiện lợi. Bên cạn...",169000,169000,0,4.8,28,,Remax,cap-sac-nhanh-da-nang-remax-rc-190-ho-tro-sac-nhanh-len-den-60w-hang-chinh-hang-p191757014.html?spid=191757016
25189078,Kệ Tivi 047,"Tên sản phẩm: Kệ Tivi 047Mã sản phẩm: KTV047Kích thước: dài 1600 x rộng 350 x cao 500mmMô tả: 2 hộc cánh mở, 2 hộc kéoVật liệu: MDF phủ Melamine nhập khẩu Thái LanChân gỗ tự nhiên sơn PUPhụ kiện...",3490000,4490000,22,0.0,0,,OEM,ke-tivi-047-p25189078.html?spid=48697130
224041690,Máy Tính Xách Tay Màn Hình Cảm Ứng Laptop Lenovo IdeaPad 3 i3-1115G4 / 8Gb/ 256Gb SSD/ 15.6 inch FHD/ Touch Win 10s 81X800ECUS - Hàng Chính Hãng,"ĐẶC ĐIỂM NỔI BẬTChip Core i3-1115G4 cùng card Intel UHD Graphics chạy mượt mà các tác vụ văn phòng, game nhẹ hay chỉnh sửa ảnh cơ bản trên PTS.Ram 8GB, ổ cứng SSD 256GB mang đến tốc độ xử lý nhanh...",12828000,12828000,0,0.0,0,,Lenovo,may-tinh-xach-tay-man-hinh-cam-ung-laptop-lenovo-ideapad-3-i3-1115g4-8gb-256gb-ssd-15-6-inch-fhd-touch-win-10s-81x800ecus-hang-chinh-hang-p224041690.html?spid=224041697
200030943,Bàn Phím dùng cho MacBook Pro Retina 13 inch từ 2013 đến 2015 Model A1502 Chuẩn US - Hàng Nhập Khẩu New Seal,"Keyboard theo chuẩn US mới 100%Chất lượng: Original StandardBảo hành 6 thángBảo hành trong vòng 6 tháng đổi sản phẩm khác khi sản phẩm lỗi do nhà sản xuất và lỗi kỹ thuật như liệt phím, phím tự chạ...",455317,455317,0,0.0,0,,MISUFUJl,ban-phim-dung-cho-macbook-pro-retina-13-inch-tu-2013-den-2015-model-a1502-chuan-us-hang-chinh-hang-mikey2048-p200030943.html?spid=200030944
270121695,"Loa Xách Tay YUYANG YY66, Công Suất 250-500W, Kết Nối Tiện Lợi Bluetooth 5.3 Hàng Chính Hãng Bảo Hàng 12 Tháng",Giới thiệu sản phẩm Loa Xách Tay YY66 từ cửa hàng .Bạn đang tìm kiếm một chiếc loa xách tay với chất lượng âm thanh xuất sắc và tính di động cao? Hãy để chúng tôi giới thiệu đến bạn chiếc Loa...,5200000,5200000,0,0.0,0,,MTMax,loa-xach-tay-yuyang-yy66-cong-suat-250-500w-ket-noi-tien-loi-bluetooth-5-3-hang-chinh-hang-bao-hang-12-thang-p270121695.html?spid=270121697
273029857,Điện Thoại Samsung Galaxy A05s (4GB/128GB) - Hàng Chính Hãng ,"Đắm chìm hết cỡ vào màn hình rộng mởThỏa sức thưởng thức hình ảnh bật nét qua màn hình độ phân giải cao FHD+ rộng 6.7"", giúp cân tất mọi phim và trò chơi yêu thích của bạn với chất lượng liền mạch, ...",3625000,3625000,0,5.0,1,,Samsung,dien-thoai-samsung-galaxy-a05s-4gb-128gb-hang-chinh-hang-p273029857.html?spid=273550765
